,0,1,2,3
0,0.9649976217657178,0.030256733256400076,0.004595076591897835,0.00015056838598918377
1,0.9662094145428834,0.02926175243697199,0.004388489124413287,0.00014034389573608073
2,0.9674237766433733,0.028262754872714048,0.004182994891990639,0.00013047359192647567
3,0.96864013573082,0.027260158229323313,0.003978745163626915,0.00012096087623426771
4,0.9698576652760527,0.026254576227268255,0.0037759482271388415,0.00011181026954472515
5,0.9710752980440879,0.025246809979791576,0.003574864916047646,0.00010302706007745962
6,0.9722917302447643,0.024237846979773797,0.0033758057720069522,9.461700345938208e-05
7,0.9735054279392618,0.023228858547069568,0.0031791274956355633,8.658601803752375e-05
8,0.9747146361161992,0.02222119542574184,0.0029852285812114474,7.893987685175323e-05
9,0.9759173908080222,0.02121638123833244,0.0027945440547270635,7.168389892264754e-05
10,0.9771115525386218,0.020216089012332406,0.0026075358739923757,6.482257505786413e-05
11,0.9782948690626422,0.01922209407168456,0.0024246777427596677,5.835912291827294e-05
12,0.9794648630929784,0.018236368619647617,0.0022464725489730218,5.229573840562635e-05
13,0.980618976143582,0.01726096963056938,0.0020734213577639476,4.663286808943357e-05
14,0.9817545105172754,0.016298090060241292,0.0019060301144927503,4.136930799538653e-05
15,0.9828687053577931,0.015350001371848589,0.0017447914347313179,3.6501835631514195e-05
16,0.9839587730930788,0.014419027763107719,0.0015901740843636011,3.2025059454093435e-05
17,0.985022072905762,0.013507406884214207,0.0014425892871218985,2.7930922905907443e-05
18,0.9860558824257883,0.012617480343251128,0.0013024276954593803,2.4209535505346387e-05
19,0.9870577419702519,0.011751411835719282,0.0011699979229665247,2.0848271066421243e-05
20,0.988025297455987,0.010911317458930028,0.0010455525842382944,1.78325008491892e-05
21,0.9889563659090875,0.010099211750013793,0.0009292766824570785,1.5145658446002176e-05
22,0.9898489706265113,0.009316977501289622,0.0008212824177342924,1.2769454469140209e-05
23,0.9907012866573042,0.008566410401191596,0.0007216186151654296,1.0684326343168404e-05
24,0.9915119343448683,0.007848967049835523,0.0006302294474706813,8.869157829727633e-06
25,0.9922797626810771,0.00716594324818355,0.0005469918689485484,7.30220179502103e-06
26,0.9930038726811533,0.006518449612220561,0.0004717163241175146,5.9613825127364734e-06
27,0.993683691516234,0.005907341735380233,0.0004041422232165137,4.8245251731506955e-06
28,0.9943192679927572,0.005332953656202251,0.0003439090394228319,3.869311621640846e-06
29,0.9949108686675464,0.004795438694132939,0.0002906183046873831,3.0743336371876223e-06
