,X,X_n,Y_n,X_hat,Res_n,Res_hat
0,6.0,-0.7141231979099406,-0.710714,6.512359619140625,-0.003409215327848325,-0.512359619140625
1,0.0,-0.7540466891834363,-1.4525553,-104.97708129882812,0.6985086096218005,104.97708129882812
2,3.0,-0.7340849435466885,-1.8675565,-167.3465576171875,1.1334715092044712,170.3465576171875
3,0.0,-0.7540466891834363,-2.0822277,-199.60894775390625,1.3281810177257434,199.60894775390625
4,0.0,-0.7540466891834363,-2.1846235,-214.99774169921875,1.4305767906597033,214.99774169921875
5,0.0,-0.7540466891834363,-2.2314744,-222.03884887695312,1.477427710383214,222.03884887695312
6,0.0,-0.7540466891834363,-2.2526727,-225.22470092773438,1.4986259830882922,225.22470092773438
7,0.0,-0.7540466891834363,-2.262453,-226.694580078125,1.5084063900401965,226.694580078125
8,0.0,-0.7540466891834363,-2.2671914,-227.40667724609375,1.513144720881261,227.40667724609375
9,1.0,-0.7473927739711871,-2.2665024,-227.30313110351562,1.5191096063999066,228.30313110351562
10,4.0,-0.7274310283344392,-2.255591,-225.66326904296875,1.5281598873454925,229.66326904296875
11,0.0,-0.7540466891834363,-2.2594395,-226.24166870117188,1.5053927792003527,226.24166870117188
12,2.0,-0.7407388587589377,-2.2584562,-226.09390258789062,1.5177173714046366,228.09390258789062
13,0.0,-0.7540466891834363,-2.2632604,-226.81588745117188,1.5092136753490344,226.81588745117188
14,0.0,-0.7540466891834363,-2.2675273,-227.4571533203125,1.513480652659215,227.4571533203125
15,0.0,-0.7540466891834363,-2.2702403,-227.86489868164062,1.5161936176708117,227.86489868164062
16,5.0,-0.7207771131221898,-2.2555854,-225.66244506835938,1.5348083189304225,230.66244506835938
17,0.0,-0.7540466891834363,-2.2589211,-226.16375732421875,1.504874457209386,226.16375732421875
18,6.0,-0.7141231979099406,-2.244977,-224.068115234375,1.5308537994655476,230.068115234375
19,5.0,-0.7207771131221898,-2.2359674,-222.714111328125,1.5151902845676295,227.714111328125
20,5.0,-0.7207771131221898,-2.2309446,-221.959228515625,1.5101675203616969,226.959228515625
21,5.0,-0.7207771131221898,-2.2283506,-221.56939697265625,1.5075735262210719,226.56939697265625
22,2.0,-0.7407388587589377,-2.2368608,-222.84835815429688,1.4961218933467753,224.84835815429688
23,8.0,-0.700815367485442,-2.2246723,-221.0166015625,1.5238569500194408,229.0166015625
24,6.0,-0.7141231979099406,-2.2195642,-220.2489013671875,1.5054410015376911,226.2489013671875
25,4.0,-0.7274310283344392,-2.2241817,-220.94284057617188,1.4967506237346526,224.94284057617188
26,4.0,-0.7274310283344392,-2.2289462,-221.65890502929688,1.5015151806194182,225.65890502929688
27,15.0,-0.6542379609996969,-2.1955214,-216.63555908203125,1.541283393675596,231.63555908203125
28,12.0,-0.6741997066364448,-2.176651,-213.79959106445312,1.5024512943401178,225.79959106445312
29,17.0,-0.6409301305751983,-2.1500156,-209.796630859375,1.509085461999875,226.796630859375
30,14.0,-0.6608918762119462,-2.141508,-208.51806640625,1.480616226205046,222.51806640625
31,4.0,-0.7274310283344392,-2.1725159,-213.17813110351562,1.4450848408061858,217.17813110351562
32,14.0,-0.6608918762119462,-2.1666007,-212.28915405273438,1.505708827981169,226.28915405273438
33,7.0,-0.7074692826976913,-2.1792464,-214.18963623046875,1.471777142930971,221.18963623046875
34,4.0,-0.7274310283344392,-2.2009263,-217.4478759765625,1.4734952755290862,221.4478759765625
35,24.0,-0.5943527240894533,-2.1485493,-209.57626342773438,1.5541965942241454,233.57626342773438
36,18.0,-0.6342762153629491,-2.121737,-205.54669189453125,1.487460787963467,223.54669189453125
37,1.0,-0.7473927739711871,-2.1657982,-212.16854858398438,1.4184054132846722,213.16854858398438
38,18.0,-0.6342762153629491,-2.1507673,-209.90960693359375,1.5164911109920314,227.90960693359375
39,12.0,-0.6741997066364448,-2.1507006,-209.89956665039062,1.4765008625163873,221.89956665039062
40,17.0,-0.6409301305751983,-2.136207,-207.72137451171875,1.4952769731540498,224.72137451171875
41,27.0,-0.5743909784527054,-2.088839,-200.60256958007812,1.5144480756549608,227.60256958007812
42,7.0,-0.7074692826976913,-2.1210442,-205.44256591796875,1.4135748762378557,212.44256591796875
43,16.0,-0.6475840457874477,-2.1261244,-206.20608520507812,1.4785403362315952,222.20608520507812
44,15.0,-0.6542379609996969,-2.127941,-206.47906494140625,1.4737029321735209,221.47906494140625
45,20.0,-0.6209683849384505,-2.1108687,-203.913330078125,1.4899003074596209,223.913330078125
46,11.0,-0.6808536218486941,-2.127542,-206.41912841796875,1.4466883970416866,217.41912841796875
47,12.0,-0.6741997066364448,-2.1412303,-208.476318359375,1.4670306381358942,220.476318359375
48,16.0,-0.6475840457874477,-2.1358576,-207.66885375976562,1.4882735363048374,223.66885375976562
49,19.0,-0.6276223001506998,-2.118265,-205.02490234375,1.4906426134082602,224.02490234375
50,19.0,-0.6276223001506998,-2.104509,-202.95758056640625,1.4768868150684165,221.95758056640625
51,19.0,-0.6276223001506998,-2.0961878,-201.70697021484375,1.4685655298206137,220.70697021484375
52,27.0,-0.5743909784527054,-2.0635443,-196.80105590820312,1.4891532949237596,223.80105590820312
53,10.0,-0.6875075370609434,-2.0972056,-201.85995483398438,1.4096981018245547,211.85995483398438
54,33.0,-0.5344674871792097,-2.0507855,-194.88357543945312,1.5163180543552142,227.88357543945312
55,19.0,-0.6276223001506998,-2.0548759,-195.49832153320312,1.4272535505267905,214.49832153320312
56,30.0,-0.5544292328159576,-2.028115,-191.47650146484375,1.473685801287436,221.47650146484375
57,23.0,-0.6010066393017026,-2.0294893,-191.68301391601562,1.4284826394916323,214.68301391601562
58,26.0,-0.5810448936649547,-2.0249727,-191.00424194335938,1.4439277835658801,217.00424194335938
59,16.0,-0.6475840457874477,-2.0562487,-195.70462036132812,1.4086646190685093,211.70462036132812
60,21.0,-0.6143144697262012,-2.065564,-197.10458374023438,1.4512494474338329,218.10458374023438
61,42.0,-0.474582250268966,-1.9907964,-185.86798095703125,1.5162141965312659,227.86798095703125
62,52.0,-0.40804309814647305,-1.8664471,-167.17984008789062,1.458403992956127,219.17984008789062
63,42.0,-0.474582250268966,-1.825057,-160.95941162109375,1.350474779455155,202.95941162109375
64,59.0,-0.36146569166072795,-1.7219105,-145.45779418945312,1.3604447850238424,204.45779418945312
65,63.0,-0.3348500308117308,-1.6189036,-129.97715759277344,1.2840536061206422,192.97715759277344
66,23.0,-0.6010066393017026,-1.7605554,-151.265625,1.1595487472415713,174.265625
67,44.0,-0.4612744198444674,-1.7911044,-155.85678100585938,1.329830016076248,199.85678100585938
68,112.0,-0.008808185411515358,-1.4292667,-101.47709655761719,1.4204585057963703,213.4770965576172
69,65.0,-0.3215422003872322,-1.3617545,-91.33087158203125,1.040212336241491,156.33087158203125
70,32.0,-0.5411214023914589,-1.5480814,-119.33346557617188,1.0069599956187951,151.33346557617188
71,69.0,-0.29492653953823506,-1.5207821,-115.230712890625,1.2258555735370213,184.230712890625
72,37.0,-0.5078518263302124,-1.6337844,-132.2135467529297,1.1259325870074952,169.2135467529297
73,37.0,-0.5078518263302124,-1.735594,-147.51425170898438,1.227742207864734,184.51425170898438
74,60.0,-0.35481177644847867,-1.6795924,-139.09791564941406,1.3247805945384599,199.09791564941406
75,59.0,-0.36146569166072795,-1.6182764,-129.8828887939453,1.2568106659900289,188.8828887939453
76,110.0,-0.02211601583601395,-1.3058587,-82.93043518066406,1.2837427154338226,192.93043518066406
77,100.0,-0.08865516795850689,-1.1007833,-52.11016845703125,1.0121281801249893,152.11016845703125
78,105.0,-0.055385591897260424,-0.95592284,-30.339462280273438,0.9005372501284964,135.33946228027344
79,98.0,-0.10196299838300549,-0.9038441,-22.512680053710938,0.8018811197352806,120.51268005371094
80,63.0,-0.3348500308117308,-1.0725411,-47.86572265625,0.737691086856421,110.86572265625
81,95.0,-0.12192474401975337,-1.0541018,-45.09452819824219,0.9321770807406836,140.0945281982422
82,51.0,-0.41469701335872233,-1.2433332,-73.53363037109375,0.8286362071231502,124.53363037109375
83,41.0,-0.4812361654812153,-1.4635494,-106.62936401367188,0.9823132100528423,147.62936401367188
84,95.0,-0.12192474401975337,-1.3274261,-86.17173767089844,1.2055013319156105,181.17173767089844
85,95.0,-0.12192474401975337,-1.1705188,-62.59053039550781,1.0485940118930275,157.5905303955078
86,75.0,-0.25500304826473924,-1.1685327,-62.29205322265625,0.9135296808841256,137.29205322265625
87,61.0,-0.3481578612362294,-1.27118,-77.71865844726562,0.9230221724475475,138.71865844726562
88,44.0,-0.4612744198444674,-1.4508655,-104.72312927246094,0.9895910872813871,148.72312927246094
89,69.0,-0.29492653953823506,-1.451542,-104.82479858398438,1.1566154803058202,173.82479858398438
90,37.0,-0.5078518263302124,-1.5909959,-125.78297424316406,1.083144081453296,162.78297424316406
91,45.0,-0.4546205046322181,-1.6683875,-137.41397094726562,1.2137670276019739,182.41397094726562
92,58.0,-0.3681196068729773,-1.6396309,-133.0922088623047,1.2715113068614587,191.0922088623047
93,55.0,-0.38808135250972514,-1.6171743,-129.71725463867188,1.2290929152591348,184.71725463867188
94,35.0,-0.5211596567547111,-1.7105652,-143.75274658203125,1.189405552634022,178.75274658203125
95,73.0,-0.26831087868923786,-1.5921568,-125.95744323730469,1.323845889155916,198.9574432373047
96,45.0,-0.4546205046322181,-1.6226703,-130.54324340820312,1.168049788222091,175.54324340820312
97,57.0,-0.3747735220852266,-1.6070787,-128.20001220703125,1.2323051493701567,185.20001220703125
98,35.0,-0.5211596567547111,-1.7053431,-142.96792602539062,1.1841834704959604,177.96792602539062
99,51.0,-0.41469701335872233,-1.7072954,-143.26132202148438,1.292598404426922,194.26132202148438
100,26.0,-0.5810448936649547,-1.8213848,-160.40753173828125,1.2403398938945545,186.40753173828125
101,38.0,-0.5011979111179632,-1.8564076,-165.6710205078125,1.3552097312465388,203.6710205078125
102,27.0,-0.5743909784527054,-1.9177791,-174.89437866210938,1.3433881095676194,201.89437866210938
103,28.0,-0.5677370632404561,-1.9562588,-180.67739868164062,1.3885217105632548,208.67739868164062
104,35.0,-0.5211596567547111,-1.9466771,-179.23739624023438,1.4255174319827768,214.23739624023438
105,26.0,-0.5810448936649547,-1.9714607,-182.96206665039062,1.3904158063701404,208.96206665039062
106,16.0,-0.6475840457874477,-2.026208,-191.18988037109375,1.3786238781017124,207.18988037109375
107,31.0,-0.5477753176037082,-2.014609,-189.44671630859375,1.46683378083074,220.44671630859375
108,12.0,-0.6741997066364448,-2.0622203,-196.60208129882812,1.3880206283702692,208.60208129882812
109,34.0,-0.5278135719669603,-2.0265803,-191.245849609375,1.4987667617427565,225.245849609375
110,36.0,-0.5145057415424618,-1.9780139,-183.94692993164062,1.463508131557819,219.94692993164062
111,27.0,-0.5743909784527054,-1.9804543,-184.31369018554688,1.406063347223259,211.31369018554688
112,18.0,-0.6342762153629491,-2.0211658,-190.43212890625,1.3868896324153712,208.43212890625
113,30.0,-0.5544292328159576,-2.012457,-189.12326049804688,1.458027661104941,219.12326049804688
114,19.0,-0.6276223001506998,-2.03655,-192.74417114257812,1.408927744862728,211.74417114257812
115,16.0,-0.6475840457874477,-2.0690186,-197.623779296875,1.421434556583768,213.623779296875
116,17.0,-0.6409301305751983,-2.0882478,-200.51370239257812,1.447317645456296,217.51370239257812
117,32.0,-0.5411214023914589,-2.0456104,-194.1058349609375,1.5044890254649865,226.1058349609375
118,48.0,-0.43465875899547024,-1.9380573,-177.94195556640625,1.5033985444331797,225.94195556640625
119,20.0,-0.6209683849384505,-1.9740499,-183.3511962890625,1.3530815408656878,203.3511962890625
120,28.0,-0.5677370632404561,-1.9875282,-185.37680053710938,1.4197911416774516,213.37680053710938
121,36.0,-0.5145057415424618,-1.9600828,-181.25210571289062,1.445577027851459,217.25210571289062
122,15.0,-0.6542379609996969,-2.0156698,-189.60614013671875,1.3614318616931742,204.60614013671875
123,13.0,-0.6675457914241956,-2.0716224,-198.01510620117188,1.4040765802493884,211.01510620117188
124,40.0,-0.48789008069346457,-2.0131907,-189.23355102539062,1.5253006656139085,229.23355102539062
125,42.0,-0.474582250268966,-1.9369516,-177.77578735351562,1.4623693869991004,219.77578735351562
126,33.0,-0.5344674871792097,-1.9242293,-175.86376953125,1.3897617770801287,208.86376953125
127,36.0,-0.5145057415424618,-1.913782,-174.29367065429688,1.3992762589992251,210.29367065429688
128,37.0,-0.5078518263302124,-1.9030436,-172.67984008789062,1.3951918014087403,209.67984008789062
