,X,X_n,Y_n,X_hat,Res_n,Res_hat
0,6.0,-0.7141231979099406,-0.71321476,6.136528015136719,-0.000908442851652036,-0.13652801513671875
1,0.0,-0.7540466891834363,-1.4433875,-103.59928894042969,0.6893408192088977,103.59928894042969
2,3.0,-0.7340849435466885,-1.9029347,-172.6634521484375,1.1688497269016147,175.6634521484375
3,0.0,-0.7540466891834363,-2.172799,-213.220703125,1.4187524212291613,213.220703125
4,0.0,-0.7540466891834363,-2.3196695,-235.29348754882812,1.5656227959087268,235.29348754882812
5,0.0,-0.7540466891834363,-2.396384,-246.82269287109375,1.642337311594762,246.82269287109375
6,0.0,-0.7540466891834363,-2.435207,-252.65728759765625,1.6811602009227649,252.65728759765625
7,0.0,-0.7540466891834363,-2.4539006,-255.46673583984375,1.699853886454381,255.46673583984375
8,0.0,-0.7540466891834363,-2.4623637,-256.7386169433594,1.7083170307567492,256.7386169433594
9,1.0,-0.7473927739711871,-2.4609346,-256.52386474609375,1.7135418650058636,257.52386474609375
10,4.0,-0.7274310283344392,-2.441631,-253.62277221679688,1.7142000503856536,257.6227722167969
11,0.0,-0.7540466891834363,-2.445782,-254.24658203125,1.6917352569988147,254.24658203125
12,2.0,-0.7407388587589377,-2.442649,-253.77572631835938,1.7019100288753397,255.77572631835938
13,0.0,-0.7540466891834363,-2.4496298,-254.82489013671875,1.6955830944469348,254.82489013671875
14,0.0,-0.7540466891834363,-2.4562564,-255.82077026367188,1.7022097004344836,255.82077026367188
15,0.0,-0.7540466891834363,-2.460714,-256.49072265625,1.7066674126079455,256.49072265625
16,5.0,-0.7207771131221898,-2.4370093,-252.92819213867188,1.7162322214420191,257.9281921386719
17,0.0,-0.7540466891834363,-2.4414375,-253.59368896484375,1.687390793650426,253.59368896484375
18,6.0,-0.7141231979099406,-2.4180532,-250.07931518554688,1.7039299522670612,256.0793151855469
19,5.0,-0.7207771131221898,-2.4014003,-247.57659912109375,1.6806232145603053,252.57659912109375
20,5.0,-0.7207771131221898,-2.3911045,-246.02926635742188,1.6703273466403834,251.02926635742188
21,5.0,-0.7207771131221898,-2.3851955,-245.14120483398438,1.6644183805759303,250.14120483398438
22,2.0,-0.7407388587589377,-2.3980489,-247.07290649414062,1.6573100189571268,249.07290649414062
23,8.0,-0.700815367485442,-2.378138,-244.08056640625,1.6773226978526927,252.08056640625
24,6.0,-0.7141231979099406,-2.3688395,-242.68310546875,1.654716304424654,248.68310546875
25,4.0,-0.7274310283344392,-2.3751893,-243.63742065429688,1.6477582760173675,247.63742065429688
26,4.0,-0.7274310283344392,-2.382829,-244.78555297851562,1.6553979225475188,248.78555297851562
27,15.0,-0.6542379609996969,-2.3263347,-236.295166015625,1.6720967538898295,251.295166015625
28,12.0,-0.6741997066364448,-2.2910054,-230.98562622070312,1.616805666364654,242.98562622070312
29,17.0,-0.6409301305751983,-2.241488,-223.54376220703125,1.6005578493137178,240.54376220703125
30,14.0,-0.6608918762119462,-2.221419,-220.52767944335938,1.5605272197810958,234.52767944335938
31,4.0,-0.7274310283344392,-2.2697117,-227.78546142578125,1.5422807045299407,231.78546142578125
32,14.0,-0.6608918762119462,-2.2613149,-226.52349853515625,1.6004229927150557,240.52349853515625
33,7.0,-0.7074692826976913,-2.283731,-229.89236450195312,1.5762617010364397,236.89236450195312
34,4.0,-0.7274310283344392,-2.3221703,-235.6693115234375,1.5947392292339202,239.6693115234375
35,24.0,-0.5943527240894533,-2.235828,-222.69314575195312,1.6414751987315916,246.69314575195312
36,18.0,-0.6342762153629491,-2.1860373,-215.21023559570312,1.5517610866542628,233.21023559570312
37,1.0,-0.7473927739711871,-2.2558546,-225.70291137695312,1.5084618326572308,226.70291137695312
38,18.0,-0.6342762153629491,-2.2329116,-222.25485229492188,1.5986353713985255,240.25485229492188
39,12.0,-0.6741997066364448,-2.232563,-222.20245361328125,1.5583633121623834,234.20245361328125
40,17.0,-0.6409301305751983,-2.2078266,-218.48489379882812,1.5668964838046846,235.48489379882812
41,27.0,-0.5743909784527054,-2.1224742,-205.65750122070312,1.5480832151202928,232.65750122070312
42,7.0,-0.7074692826976913,-2.1729157,-213.23822021484375,1.4654464144000872,220.23822021484375
43,16.0,-0.6475840457874477,-2.1825788,-214.69046020507812,1.5349947563213169,230.69046020507812
44,15.0,-0.6542379609996969,-2.1867476,-215.31698608398438,1.5325095899646586,230.31698608398438
45,20.0,-0.6209683849384505,-2.157582,-210.93377685546875,1.53661365966299,230.93377685546875
46,11.0,-0.6808536218486941,-2.1849008,-215.0394287109375,1.5040471388019405,226.0394287109375
47,12.0,-0.6741997066364448,-2.2092133,-218.69329833984375,1.5350135501994928,230.69329833984375
48,16.0,-0.6475840457874477,-2.202535,-217.68960571289062,1.5549508682292759,233.68960571289062
49,19.0,-0.6276223001506998,-2.1725984,-213.19052124023438,1.5449760618182944,232.19052124023438
50,19.0,-0.6276223001506998,-2.1469698,-209.3388671875,1.519347495076351,228.3388671875
51,19.0,-0.6276223001506998,-2.1300645,-206.7982177734375,1.5024421873065756,225.7982177734375
52,27.0,-0.5743909784527054,-2.0701532,-197.7943115234375,1.495762257936455,224.7943115234375
53,10.0,-0.6875075370609434,-2.1247883,-206.00527954101562,1.4372807472408144,216.00527954101562
54,33.0,-0.5344674871792097,-2.0433066,-193.75958251953125,1.5088391019473772,226.75958251953125
55,19.0,-0.6276223001506998,-2.0471733,-194.3406982421875,1.4195509614917563,213.3406982421875
56,30.0,-0.5544292328159576,-1.9980843,-186.9632568359375,1.4436550739009615,216.9632568359375
57,23.0,-0.6010066393017026,-1.9974942,-186.87457275390625,1.39648758143194,209.87457275390625
58,26.0,-0.5810448936649547,-1.9880602,-185.45675659179688,1.407015342312218,211.45675659179688
59,16.0,-0.6475840457874477,-2.0419548,-193.55642700195312,1.3943707099956333,209.55642700195312
60,21.0,-0.6143144697262012,-2.0608766,-196.400146484375,1.4465621381686962,217.400146484375
61,42.0,-0.474582250268966,-1.933176,-177.20834350585938,1.458593790380448,219.20834350585938
62,52.0,-0.40804309814647305,-1.7501059,-149.6951904296875,1.342062759702648,201.6951904296875
63,42.0,-0.474582250268966,-1.6769637,-138.70285034179688,1.2023814366740881,180.70285034179688
64,59.0,-0.36146569166072795,-1.5387383,-117.92930603027344,1.177272559071694,176.92930603027344
65,63.0,-0.3348500308117308,-1.4031956,-97.55894470214844,1.068345588771399,160.55894470214844
66,23.0,-0.6010066393017026,-1.5654875,-121.94938659667969,0.9644808647037295,144.9493865966797
67,44.0,-0.4612744198444674,-1.6066072,-128.129150390625,1.1453327788707426,172.129150390625
68,112.0,-0.008808185411515358,-1.177098,-63.579315185546875,1.1682898504008625,175.57931518554688
69,65.0,-0.3215422003872322,-1.0854696,-49.8087158203125,0.763927403151281,114.8087158203125
70,32.0,-0.5411214023914589,-1.2895681,-80.48214721679688,0.748446664205526,112.48214721679688
71,69.0,-0.29492653953823506,-1.261715,-76.29618835449219,0.9667885149737889,145.2961883544922
72,37.0,-0.5078518263302124,-1.3998044,-97.04928588867188,0.8919525273837768,134.04928588867188
73,37.0,-0.5078518263302124,-1.531377,-116.822998046875,1.0235251315631593,153.822998046875
74,60.0,-0.35481177644847867,-1.4732958,-108.09413146972656,1.1184840313899613,168.09413146972656
75,59.0,-0.36146569166072795,-1.3998649,-97.05838012695312,1.038399220372353,156.05838012695312
76,110.0,-0.02211601583601395,-1.0308484,-41.599822998046875,1.0087323680674896,151.59982299804688
77,100.0,-0.08865516795850689,-0.7844692,-4.572120666503906,0.6958140193011672,104.5721206665039
78,105.0,-0.055385591897260424,-0.6088695,21.818313598632812,0.5534839011103995,83.18168640136719
79,98.0,-0.10196299838300549,-0.5440221,31.564064025878906,0.4420590848994652,66.4359359741211
80,63.0,-0.3348500308117308,-0.72842336,3.8508682250976562,0.3935733261981569,59.149131774902344
81,95.0,-0.12192474401975337,-0.7148425,5.891899108886719,0.5929177542827063,89.10810089111328
82,51.0,-0.41469701335872233,-0.92735577,-26.046188354492188,0.5126587529376644,77.04618835449219
83,41.0,-0.4812361654812153,-1.1854515,-64.83473205566406,0.7042153420871441,105.83473205566406
84,95.0,-0.12192474401975337,-1.0430548,-43.434295654296875,0.9211300750873023,138.43429565429688
85,95.0,-0.12192474401975337,-0.8665154,-16.902633666992188,0.7445906540057593,111.90263366699219
86,75.0,-0.25500304826473924,-0.86033726,-15.974136352539062,0.6053342091205147,90.97413635253906
87,61.0,-0.3481578612362294,-0.9724083,-32.8170166015625,0.624250433441505,93.8170166015625
88,44.0,-0.4612744198444674,-1.1770842,-63.577239990234375,0.7158097876903227,107.57723999023438
89,69.0,-0.29492653953823506,-1.1854298,-64.83148193359375,0.8905032719394261,133.83148193359375
90,37.0,-0.5078518263302124,-1.3531421,-90.03652954101562,0.845290315965625,127.03652954101562
91,45.0,-0.4546205046322181,-1.4537432,-105.15560913085938,0.9991227147433923,150.15560913085938
92,58.0,-0.3681196068729773,-1.425859,-100.9649658203125,1.0577393675838098,158.9649658203125
93,55.0,-0.38808135250972514,-1.39922,-96.96145629882812,1.0111386372668862,151.96145629882812
94,35.0,-0.5211596567547111,-1.5098222,-113.58358764648438,0.9886625926578255,148.58358764648438
95,73.0,-0.26831087868923786,-1.3692847,-92.46257019042969,1.100973870341829,165.4625701904297
96,45.0,-0.4546205046322181,-1.4010687,-97.23928833007812,0.9464481828067468,142.23928833007812
97,57.0,-0.3747735220852266,-1.3814889,-94.29670715332031,1.006715397172891,151.2967071533203
98,35.0,-0.5211596567547111,-1.4986405,-111.90312194824219,0.9774808805072518,146.9031219482422
99,51.0,-0.41469701335872233,-1.5060179,-113.0118408203125,1.09132090999638,164.0118408203125
100,26.0,-0.5810448936649547,-1.6485441,-134.43174743652344,1.0674991794399036,160.43174743652344
101,38.0,-0.5011979111179632,-1.6992812,-142.05690002441406,1.1980833045497614,180.05690002441406
102,27.0,-0.5743909784527054,-1.7855203,-155.01754760742188,1.2111293367175828,182.01754760742188
103,28.0,-0.5677370632404561,-1.8464228,-164.17044067382812,1.278685728240562,192.17044067382812
104,35.0,-0.5211596567547111,-1.8389024,-163.04019165039062,1.3177426974857065,198.04019165039062
105,26.0,-0.5810448936649547,-1.8772056,-168.79669189453125,1.2961607166103137,194.79669189453125
106,16.0,-0.6475840457874477,-1.9754486,-183.5614013671875,1.3278645626109897,199.5614013671875
107,31.0,-0.5477753176037082,-1.9612284,-181.42425537109375,1.4134530530627956,212.42425537109375
108,12.0,-0.6741997066364448,-2.0475173,-194.39242553710938,1.373317593015655,206.39242553710938
109,34.0,-0.5278135719669603,-1.9895854,-185.68597412109375,1.4617718276607252,219.68597412109375
110,36.0,-0.5145057415424618,-1.9074342,-173.33969116210938,1.3929284835399356,209.33969116210938
111,27.0,-0.5743909784527054,-1.9030625,-172.68267822265625,1.3286714843539964,199.68267822265625
112,18.0,-0.6342762153629491,-1.9720175,-183.04574584960938,1.3377413112636378,201.04574584960938
113,30.0,-0.5544292328159576,-1.9591093,-181.10580444335938,1.4046800735194918,211.10580444335938
114,19.0,-0.6276223001506998,-2.0028327,-187.6768798828125,1.375210350987606,206.6768798828125
115,16.0,-0.6475840457874477,-2.063017,-196.7218017578125,1.4154328456920444,212.7218017578125
116,17.0,-0.6409301305751983,-2.10175,-202.54290771484375,1.4608197664279756,219.54290771484375
117,32.0,-0.5411214023914589,-2.0302424,-191.79623413085938,1.489121040693258,223.79623413085938
118,48.0,-0.43465875899547024,-1.8548714,-165.44015502929688,1.4202126332545908,213.44015502929688
119,20.0,-0.6209683849384505,-1.8915875,-170.9581298828125,1.2706191108653826,190.9581298828125
120,28.0,-0.5677370632404561,-1.9092741,-173.61618041992188,1.341537038016868,201.61618041992188
121,36.0,-0.5145057415424618,-1.86679,-167.23138427734375,1.3522843146861758,203.23138427734375
122,15.0,-0.6542379609996969,-1.9577665,-180.90399169921875,1.3035285718982523,195.90399169921875
123,13.0,-0.6675457914241956,-2.0593038,-196.16375732421875,1.3917579691043689,209.16375732421875
124,40.0,-0.48789008069346457,-1.9622016,-181.57052612304688,1.474311514612932,221.57052612304688
125,42.0,-0.474582250268966,-1.8414762,-163.42703247070312,1.3668939517421423,205.42703247070312
126,33.0,-0.5344674871792097,-1.8110167,-158.84933471679688,1.27654919163091,191.84933471679688
127,36.0,-0.5145057415424618,-1.7891748,-155.5667724609375,1.274669053608295,191.5667724609375
128,37.0,-0.5078518263302124,-1.7693433,-152.58633422851562,1.261491430620166,189.58633422851562
129,1.0,-0.7473927739711871,-1.9759433,-183.6357421875,1.228550552978886,184.6357421875
130,4.0,-0.7274310283344392,-2.1457083,-209.1492919921875,1.4182772941905852,213.1492919921875
131,30.0,-0.5544292328159576,-2.103313,-202.77780151367188,1.5488837363918062,232.77780151367188
132,20.0,-0.6209683849384505,-2.090937,-200.9178466796875,1.4699685142467303,220.9178466796875
133,19.0,-0.6276223001506998,-2.0943987,-201.4381103515625,1.4667764368030356,220.4381103515625
134,20.0,-0.6209683849384505,-2.0935738,-201.31411743164062,1.4726054237315935,221.31411743164062
135,33.0,-0.5344674871792097,-2.010272,-188.794921875,1.475804538882802,221.794921875
136,21.0,-0.6143144697262012,-2.0116055,-188.99533081054688,1.3972910314487255,209.99533081054688
137,19.0,-0.6276223001506998,-2.0418565,-193.54165649414062,1.4142342271777915,212.54165649414062
138,37.0,-0.5078518263302124,-1.954756,-180.45156860351562,1.4469041951694215,217.45156860351562
139,32.0,-0.5411214023914589,-1.902792,-172.64199829101562,1.3616705745372522,204.64199829101562
140,39.0,-0.49454399590571385,-1.8290328,-161.55691528320312,1.3344887828342153,200.55691528320312
141,34.0,-0.5278135719669603,-1.8055032,-158.020751953125,1.2776896772014357,192.020751953125
142,47.0,-0.4413126742077195,-1.7157024,-144.52481079101562,1.2743897403049147,191.52481079101562
143,25.0,-0.587698808877204,-1.7805617,-154.2723388671875,1.1928628766849299,179.2723388671875
144,27.0,-0.5743909784527054,-1.8444375,-163.8720703125,1.270046501520134,190.8720703125
145,37.0,-0.5078518263302124,-1.8248835,-160.933349609375,1.3170316346683228,197.933349609375
146,35.0,-0.5211596567547111,-1.8073385,-158.29653930664062,1.2861788194263193,193.29653930664062
147,36.0,-0.5145057415424618,-1.7892964,-155.58505249023438,1.2747906470836368,191.58505249023438
148,34.0,-0.5278135719669603,-1.789498,-155.6153564453125,1.2616843995677687,189.6153564453125
149,50.0,-0.4213509285709716,-1.690151,-140.6847381591797,1.2688000476100587,190.6847381591797
150,24.0,-0.5943527240894533,-1.7673774,-152.2908935546875,1.1730246524669432,176.2908935546875
151,41.0,-0.4812361654812153,-1.7483602,-149.432861328125,1.267123991531724,190.432861328125
152,28.0,-0.5677370632404561,-1.7988334,-157.01834106445312,1.231096306968284,185.01834106445312
