,X,X_n,Y_n,X_hat,Res_n,Res_hat
0,6.0,-0.7141231979099406,-0.71311957,6.1508331298828125,-0.0010036314693583348,-0.1508331298828125
1,0.0,-0.7540466891834363,-1.343183,-88.53981018066406,0.5891363514354602,88.53981018066406
2,3.0,-0.7340849435466885,-1.6869268,-140.2001953125,0.9528418981891513,143.2001953125
3,0.0,-0.7540466891834363,-1.8621922,-166.54037475585938,1.1081454647472277,166.54037475585938
4,0.0,-0.7540466891834363,-1.9423627,-178.5889892578125,1.1883159769466296,178.5889892578125
5,0.0,-0.7540466891834363,-1.9758328,-183.619140625,1.2217861307552234,183.619140625
6,0.0,-0.7540466891834363,-1.9881393,-185.4686279296875,1.2340925825527087,185.4686279296875
7,0.0,-0.7540466891834363,-1.9916204,-185.9918212890625,1.2375737322261706,185.9918212890625
8,0.0,-0.7540466891834363,-1.9918488,-186.02615356445312,1.23780213722495,186.02615356445312
9,1.0,-0.7473927739711871,-1.9870876,-185.31057739257812,1.2396948334125408,186.31057739257812
10,4.0,-0.7274310283344392,-1.9706589,-182.841552734375,1.2432278700191375,186.841552734375
11,0.0,-0.7540466891834363,-1.9736072,-183.28463745117188,1.2195604933193103,183.28463745117188
12,2.0,-0.7407388587589377,-1.9712871,-182.93597412109375,1.2305482725505716,184.93597412109375
13,0.0,-0.7540466891834363,-1.9767989,-183.76431274414062,1.2227522028377429,183.76431274414062
14,0.0,-0.7540466891834363,-1.982016,-184.54837036132812,1.2279692781856433,184.54837036132812
15,0.0,-0.7540466891834363,-1.9854089,-185.05828857421875,1.2313622129848376,185.05828857421875
16,5.0,-0.7207771131221898,-1.9670147,-182.29388427734375,1.2462375572498194,187.29388427734375
17,0.0,-0.7540466891834363,-1.9707514,-182.85546875,1.2167047155788318,182.85546875
18,6.0,-0.7141231979099406,-1.9531862,-180.21563720703125,1.2390629564555988,186.21563720703125
19,5.0,-0.7207771131221898,-1.9411802,-178.41128540039062,1.2204031160648219,183.41128540039062
20,5.0,-0.7207771131221898,-1.9343089,-177.37860107421875,1.2135317734058253,182.37860107421875
21,5.0,-0.7207771131221898,-1.9307579,-176.84494018554688,1.2099807670886866,181.84494018554688
22,2.0,-0.7407388587589377,-1.9414678,-178.45449829101562,1.2007289032344706,180.45449829101562
23,8.0,-0.700815367485442,-1.9265032,-176.20550537109375,1.2256878139720775,184.20550537109375
24,6.0,-0.7141231979099406,-1.9196815,-175.1802978515625,1.205558351162325,181.1802978515625
25,4.0,-0.7274310283344392,-1.9250964,-175.99407958984375,1.1976653642970916,179.99407958984375
26,4.0,-0.7274310283344392,-1.9312152,-176.91366577148438,1.203784138711154,180.91366577148438
27,15.0,-0.6542379609996969,-1.8879375,-170.40957641601562,1.2336995847766703,185.40957641601562
28,12.0,-0.6741997066364448,-1.8620104,-166.5130615234375,1.1878106531276544,178.5130615234375
29,17.0,-0.6409301305751983,-1.8249521,-160.94366455078125,1.1840219949741182,177.94366455078125
30,14.0,-0.6608918762119462,-1.811246,-158.88381958007812,1.150354161271269,172.88381958007812
31,4.0,-0.7274310283344392,-1.8499786,-164.704833984375,1.1225475378352996,168.704833984375
32,14.0,-0.6608918762119462,-1.8443373,-163.85702514648438,1.1834454679576705,177.85702514648438
33,7.0,-0.7074692826976913,-1.8617525,-166.47430419921875,1.1542832273731096,173.47430419921875
34,4.0,-0.7274310283344392,-1.8909389,-170.86062622070312,1.163507849724948,174.86062622070312
35,24.0,-0.5943527240894533,-1.8222904,-160.54364013671875,1.2279376964427733,184.54364013671875
