,X,X_n,Y_n,X_hat,Res_n,Res_hat
0,6.0,-0.7141231979099406,-0.7166427,5.6213531494140625,0.0025194798740254543,0.3786468505859375
1,0.0,-0.7540466891834363,-0.040277597,107.27054595947266,-0.7137690926203355,-107.27054595947266
2,3.0,-0.7340849435466885,0.8456719,240.41763305664062,-1.5797568357128262,-237.41763305664062
3,0.0,-0.7540466891834363,1.3123015,310.54620361328125,-2.0663482057163343,-310.54620361328125
4,0.0,-0.7540466891834363,1.3723817,319.57550048828125,-2.126428376347743,-319.57550048828125
5,0.0,-0.7540466891834363,1.1311185,283.31671142578125,-1.8851652251789197,-283.31671142578125
6,0.0,-0.7540466891834363,0.70596224,219.42103576660156,-1.4600089298793897,-219.42103576660156
7,0.0,-0.7540466891834363,0.27470008,154.6077423095703,-1.028746764571391,-154.6077423095703
8,0.0,-0.7540466891834363,-0.0461989,106.38064575195312,-0.7078477883944139,-106.38064575195312
9,1.0,-0.7473927739711871,-0.26489222,73.51377868652344,-0.48250055347405574,-72.51377868652344
10,4.0,-0.7274310283344392,-0.3883608,54.958003997802734,-0.33907022997552194,-50.958003997802734
11,0.0,-0.7540466891834363,-0.44446498,46.5262451171875,-0.3095817076274976,-46.5262451171875
12,2.0,-0.7407388587589377,-0.43648368,47.725738525390625,-0.30425517755700293,-45.725738525390625
13,0.0,-0.7540466891834363,-0.38448447,55.540565490722656,-0.36956221929284183,-55.540565490722656
14,0.0,-0.7540466891834363,-0.29592037,68.85063934326172,-0.45812631717415897,-68.85063934326172
15,0.0,-0.7540466891834363,-0.18150985,86.04510498046875,-0.5725368367740735,-86.04510498046875
16,5.0,-0.7207771131221898,-0.037826356,107.63893127441406,-0.682950757575477,-102.63893127441406
17,0.0,-0.7540466891834363,0.10728496,129.4473419189453,-0.8613316523143872,-129.4473419189453
18,6.0,-0.7141231979099406,0.2676931,153.55467224121094,-0.9818163002697123,-147.55467224121094
19,5.0,-0.7207771131221898,0.42726034,177.53562927246094,-1.1480374523822912,-172.53562927246094
20,5.0,-0.7207771131221898,0.57955295,200.42330932617188,-1.3003300615970739,-195.42330932617188
21,5.0,-0.7207771131221898,0.7208567,221.65948486328125,-1.441633839291776,-216.65948486328125
22,2.0,-0.7407388587589377,0.8417166,239.82321166992188,-1.5824554463024252,-237.82321166992188
23,8.0,-0.700815367485442,0.9612339,257.78515625,-1.66204928138391,-249.78515625
