,X,X_n,Y_n,X_hat,Res_n,Res_hat
0,6.0,-0.7141231979099406,-0.7107527,6.506538391113281,-0.003370472308744321,-0.5065383911132812
1,0.0,-0.7540466891834363,0.06090972,122.47772979736328,-0.8149564074585065,-122.47772979736328
2,3.0,-0.7340849435466885,1.6052796,354.5771484375,-2.3393645084041714,-351.5771484375
3,0.0,-0.7540466891834363,3.298368,609.027099609375,-4.05241466632577,-609.027099609375
4,0.0,-0.7540466891834363,4.81987,837.6898193359375,-5.573916684300624,-837.6898193359375
5,0.0,-0.7540466891834363,6.0954413,1029.3922119140625,-6.849488030583583,-1029.3922119140625
6,0.0,-0.7540466891834363,7.0963817,1179.8209228515625,-7.850428353459559,-1179.8209228515625
7,0.0,-0.7540466891834363,7.8307414,1290.1859130859375,-8.584788094670497,-1290.1859130859375
8,0.0,-0.7540466891834363,8.330951,1365.3612060546875,-9.084997426182948,-1365.3612060546875
9,1.0,-0.7473927739711871,8.647303,1412.9049072265625,-9.394695401534664,-1411.9049072265625
10,4.0,-0.7274310283344392,8.867773,1446.038818359375,-9.595204084364713,-1442.038818359375
11,0.0,-0.7540466891834363,8.993392,1464.917724609375,-9.747438679845057,-1464.917724609375
12,2.0,-0.7407388587589377,9.068237,1476.1661376953125,-9.808976163446438,-1474.1661376953125
13,0.0,-0.7540466891834363,9.095447,1480.2552490234375,-9.849493275792323,-1480.2552490234375
14,0.0,-0.7540466891834363,9.096233,1480.37353515625,-9.850280057103358,-1480.37353515625
15,0.0,-0.7540466891834363,9.084458,1478.6038818359375,-9.83850504031869,-1478.6038818359375
16,5.0,-0.7207771131221898,9.096778,1480.455322265625,-9.817555029076779,-1475.455322265625
17,0.0,-0.7540466891834363,9.089033,1479.2913818359375,-9.843079816014491,-1479.2913818359375
18,6.0,-0.7141231979099406,9.109082,1482.3045654296875,-9.823205419894803,-1476.3045654296875
19,5.0,-0.7207771131221898,9.131836,1485.72412109375,-9.852613050622189,-1480.72412109375
20,5.0,-0.7207771131221898,9.152806,1488.875732421875,-9.873583395165646,-1483.875732421875
21,5.0,-0.7207771131221898,9.169819,1491.4324951171875,-9.890595991296017,-1486.4324951171875
22,2.0,-0.7407388587589377,9.165467,1490.778564453125,-9.906206121027004,-1488.778564453125
23,8.0,-0.700815367485442,9.186188,1493.892578125,-9.887003111626067,-1485.892578125
24,6.0,-0.7141231979099406,9.201215,1496.15087890625,-9.915337988254178,-1490.15087890625
25,4.0,-0.7274310283344392,9.1998625,1495.94775390625,-9.927293508498014,-1491.94775390625
26,4.0,-0.7274310283344392,9.191334,1494.6658935546875,-9.918764799086393,-1490.6658935546875
27,15.0,-0.6542379609996969,9.241579,1502.2171630859375,-9.89581701678583,-1487.2171630859375
28,12.0,-0.6741997066364448,9.288942,1509.3353271484375,-9.963142043672578,-1497.3353271484375
29,17.0,-0.6409301305751983,9.354789,1519.231201171875,-9.9957189107876,-1502.231201171875
30,14.0,-0.6608918762119462,9.398516,1525.802734375,-10.059407577505892,-1511.802734375
31,4.0,-0.7274310283344392,9.368578,1521.303466796875,-10.09600898548776,-1517.303466796875
32,14.0,-0.6608918762119462,9.367595,1521.15576171875,-10.028486595145052,-1507.15576171875
33,7.0,-0.7074692826976913,9.335632,1516.3521728515625,-10.04310160691644,-1509.3521728515625
34,4.0,-0.7274310283344392,9.278461,1507.7601318359375,-10.005892484633268,-1503.7601318359375
35,24.0,-0.5943527240894533,9.330563,1515.59033203125,-9.924915315642188,-1491.59033203125
36,18.0,-0.6342762153629491,9.382314,1523.3677978515625,-10.016589943695468,-1505.3677978515625
37,1.0,-0.7473927739711871,9.331303,1515.7015380859375,-10.078695416793453,-1514.7015380859375
38,18.0,-0.6342762153629491,9.342504,1517.3848876953125,-9.976779763031406,-1499.3848876953125
39,12.0,-0.6741997066364448,9.340521,1517.0869140625,-10.014720565401094,-1505.0869140625
40,17.0,-0.6409301305751983,9.361429,1520.2291259765625,-10.002359345052737,-1503.2291259765625
41,27.0,-0.5743909784527054,9.44251,1532.41455078125,-10.016900629636787,-1505.41455078125
42,7.0,-0.7074692826976913,9.421288,1529.22509765625,-10.128756819318784,-1522.22509765625
43,16.0,-0.6475840457874477,9.4133215,1528.0279541015625,-10.0609055408436,-1512.0279541015625
44,15.0,-0.6542379609996969,9.403411,1526.5384521484375,-10.057648872559756,-1511.5384521484375
45,20.0,-0.6209683849384505,9.420895,1529.166015625,-10.041863007741185,-1509.166015625
46,11.0,-0.6808536218486941,9.394773,1525.240234375,-10.075626151450745,-1514.240234375
47,12.0,-0.6741997066364448,9.361034,1520.1697998046875,-10.035234099946992,-1508.1697998046875
48,16.0,-0.6475840457874477,9.35107,1518.67236328125,-9.998654449840181,-1502.67236328125
49,19.0,-0.6276223001506998,9.36839,1521.2752685546875,-9.996012383463688,-1502.2752685546875
50,19.0,-0.6276223001506998,9.393733,1525.083984375,-10.021355324747867,-1506.083984375
51,19.0,-0.6276223001506998,9.418259,1528.7698974609375,-10.045880967142887,-1509.7698974609375
52,27.0,-0.5743909784527054,9.482634,1538.4447021484375,-10.057024569150947,-1511.4447021484375
