,X,X_n,Y_n,X_hat,Res_n,Res_hat
0,6.0,-0.7141231979099406,-0.7112098,6.4378509521484375,-0.002913423892606626,-0.4378509521484375
1,0.0,-0.7540466891834363,-1.2275975,-71.16874694824219,0.47355078586844357,71.16874694824219
2,3.0,-0.7340849435466885,-1.4349296,-102.32817077636719,0.7008446657520175,105.32817077636719
3,0.0,-0.7540466891834363,-1.5298246,-116.58969116210938,0.775777925341405,116.58969116210938
4,0.0,-0.7540466891834363,-1.5651197,-121.89410400390625,0.8110730541637317,121.89410400390625
5,0.0,-0.7540466891834363,-1.575961,-123.52340698242188,0.8219143045833484,123.52340698242188
6,0.0,-0.7540466891834363,-1.5780547,-123.83807373046875,0.8240079773357287,123.83807373046875
7,0.0,-0.7540466891834363,-1.5775371,-123.76028442382812,0.8234903706004992,123.76028442382812
8,0.0,-0.7540466891834363,-1.5765476,-123.611572265625,0.8225009334972277,123.611572265625
9,1.0,-0.7473927739711871,-1.5726719,-123.02909851074219,0.825279116287602,124.02909851074219
10,4.0,-0.7274310283344392,-1.5607245,-121.23356628417969,0.8332934685069915,125.23356628417969
11,0.0,-0.7540466891834363,-1.5666149,-122.11880493164062,0.8125681770732776,122.11880493164062
12,2.0,-0.7407388587589377,-1.5648017,-121.8463134765625,0.8240628342037087,123.8463134765625
13,0.0,-0.7540466891834363,-1.5694399,-122.54338073730469,0.815393198817052,122.54338073730469
14,0.0,-0.7540466891834363,-1.5723004,-122.97328186035156,0.8182537449291125,122.97328186035156
15,0.0,-0.7540466891834363,-1.5735652,-123.16336059570312,0.8195185554912463,123.16336059570312
16,5.0,-0.7207771131221898,-1.5582472,-120.86125183105469,0.837470095473086,125.86125183105469
17,0.0,-0.7540466891834363,-1.5649523,-121.86894226074219,0.8109055651119128,121.86894226074219
18,6.0,-0.7141231979099406,-1.5511212,-119.79031372070312,0.8369980369838582,125.79031372070312
19,5.0,-0.7207771131221898,-1.5454136,-118.93252563476562,0.8246365001972071,123.93252563476562
20,5.0,-0.7207771131221898,-1.5433567,-118.62339782714844,0.8225795439060084,123.62339782714844
21,5.0,-0.7207771131221898,-1.5427365,-118.53019714355469,0.8219594171817652,123.53019714355469
22,2.0,-0.7407388587589377,-1.5522903,-119.96600341796875,0.8115514616374856,121.96600341796875
23,8.0,-0.700815367485442,-1.5388529,-117.946533203125,0.8380375625835277,125.946533203125
24,6.0,-0.7141231979099406,-1.5362502,-117.55538940429688,0.8221270357402669,123.55538940429688
25,4.0,-0.7274310283344392,-1.5424381,-118.4853515625,0.8150071211177703,122.4853515625
26,4.0,-0.7274310283344392,-1.5464461,-119.08769226074219,0.8190150566417571,123.08769226074219
27,15.0,-0.6542379609996969,-1.5132813,-114.10345458984375,0.8590433843677348,129.10345458984375
28,12.0,-0.6741997066364448,-1.5022118,-112.43983459472656,0.8280121025218804,124.43983459472656
29,17.0,-0.6409301305751983,-1.4830194,-109.55545043945312,0.8420892213840302,126.55545043945312
30,14.0,-0.6608918762119462,-1.4820225,-109.4056396484375,0.8211306476680587,123.4056396484375
31,4.0,-0.7274310283344392,-1.5156188,-114.45474243164062,0.7881877727825042,118.45474243164062
32,14.0,-0.6608918762119462,-1.5041316,-112.72834777832031,0.8432396793453047,126.72834777832031
33,7.0,-0.7074692826976913,-1.5162098,-114.54356384277344,0.8087405580768449,121.54356384277344
34,4.0,-0.7274310283344392,-1.5342722,-117.25811767578125,0.8068411655742522,121.25811767578125
35,24.0,-0.5943527240894533,-1.4808211,-109.22508239746094,0.8864684085704588,133.22508239746094
36,18.0,-0.6342762153629491,-1.4648259,-106.82119750976562,0.8305496532436183,124.82119750976562
37,1.0,-0.7473927739711871,-1.5151995,-114.3917236328125,0.7678067680744062,115.3917236328125
38,18.0,-0.6342762153629491,-1.4929874,-111.05352783203125,0.8587111789699367,129.05352783203125
39,12.0,-0.6741997066364448,-1.4934964,-111.13002014160156,0.8192967113628228,123.13002014160156
40,17.0,-0.6409301305751983,-1.4801795,-109.128662109375,0.8392494176883515,126.128662109375
41,27.0,-0.5743909784527054,-1.4407578,-103.20405578613281,0.8663667730121384,130.2040557861328
42,7.0,-0.7074692826976913,-1.4812287,-109.28634643554688,0.773759426523195,116.28634643554688
43,16.0,-0.6475840457874477,-1.4812446,-109.28872680664062,0.8336605182689488,125.28872680664062
44,15.0,-0.6542379609996969,-1.4804869,-109.17485046386719,0.8262489088123148,124.17485046386719
45,20.0,-0.6209683849384505,-1.4642313,-106.73184204101562,0.8432628677318376,126.73184204101562
