,X,X_n,Y_n,X_hat,Res_n,Res_hat
0,6.0,-0.7141231979099406,-0.7120027,6.318687438964844,-0.0021205033031596043,-0.31868743896484375
1,0.0,-0.7540466891834363,-1.309989,-83.55116271972656,0.555942286341466,83.55116271972656
2,3.0,-0.7340849435466885,-1.6445564,-133.8324432373047,0.9104714596134067,136.8324432373047
3,0.0,-0.7540466891834363,-1.8263527,-161.15414428710938,1.0723060263088122,161.15414428710938
4,0.0,-0.7540466891834363,-1.9188455,-175.05465698242188,1.1647988451412097,175.05465698242188
5,0.0,-0.7540466891834363,-1.9641343,-181.86099243164062,1.210087646334447,181.86099243164062
6,0.0,-0.7540466891834363,-1.9857379,-185.10775756835938,1.2316912306239978,185.10775756835938
7,0.0,-0.7540466891834363,-1.9958144,-186.62213134765625,1.2417677534511462,186.62213134765625
8,0.0,-0.7540466891834363,-2.0004084,-187.31253051757812,1.2463617218425647,187.31253051757812
9,1.0,-0.7473927739711871,-1.9991449,-187.12265014648438,1.251752137794865,188.12265014648438
10,4.0,-0.7274310283344392,-1.9873813,-185.354736328125,1.259950310738742,189.354736328125
11,0.0,-0.7540466891834363,-1.9908966,-185.88302612304688,1.2368498934200183,185.88302612304688
12,2.0,-0.7407388587589377,-1.9890922,-185.61184692382812,1.2483533720378763,187.61184692382812
13,0.0,-0.7540466891834363,-1.993631,-186.29397583007812,1.239584316103734,186.29397583007812
14,0.0,-0.7540466891834363,-1.9977063,-186.90643310546875,1.243659604876317,186.90643310546875
15,0.0,-0.7540466891834363,-2.0003839,-187.308837890625,1.2463371647289172,187.308837890625
16,5.0,-0.7207771131221898,-1.9854892,-185.07037353515625,1.2647121361072413,190.07037353515625
17,0.0,-0.7540466891834363,-1.9890887,-185.611328125,1.2350419653346911,185.611328125
18,6.0,-0.7141231979099406,-1.9747115,-183.45062255859375,1.2605883394512043,189.45062255859375
19,5.0,-0.7207771131221898,-1.9654063,-182.05215454101562,1.2446291855152003,187.05215454101562
20,5.0,-0.7207771131221898,-1.9599322,-181.22946166992188,1.2391550949390284,186.22946166992188
21,5.0,-0.7207771131221898,-1.9568626,-180.76815795898438,1.2360854557330958,185.76815795898438
22,2.0,-0.7407388587589377,-1.965078,-182.0028076171875,1.2243391374950297,184.0028076171875
23,8.0,-0.700815367485442,-1.9526596,-180.13650512695312,1.2518442394481517,188.13650512695312
24,6.0,-0.7141231979099406,-1.9475595,-179.3699951171875,1.233436277988802,185.3699951171875
25,4.0,-0.7274310283344392,-1.9518832,-180.01980590820312,1.2244521684963103,184.01980590820312
26,4.0,-0.7274310283344392,-1.9563344,-180.68875122070312,1.228903324158847,184.68875122070312
27,15.0,-0.6542379609996969,-1.91889,-175.06134033203125,1.2646520383899515,190.06134033203125
28,12.0,-0.6741997066364448,-1.8975219,-171.8499755859375,1.2233221468105158,183.8499755859375
29,17.0,-0.6409301305751983,-1.8662202,-167.145751953125,1.2252901052493868,184.145751953125
30,14.0,-0.6608918762119462,-1.8547238,-165.41796875,1.193831934937651,179.41796875
31,4.0,-0.7274310283344392,-1.8883023,-170.46438598632812,1.1608712978679534,174.46438598632812
32,14.0,-0.6608918762119462,-1.8810219,-169.3702392578125,1.2201299810497115,183.3702392578125
33,7.0,-0.7074692826976913,-1.896214,-171.65341186523438,1.1887447256336077,178.65341186523438
34,4.0,-0.7274310283344392,-1.9210117,-175.38021850585938,1.193580657990634,179.38021850585938
35,24.0,-0.5943527240894533,-1.8629777,-166.658447265625,1.2686250190593504,190.658447265625
36,18.0,-0.6342762153629491,-1.831998,-162.0025634765625,1.1977217752452662,180.0025634765625
37,1.0,-0.7473927739711871,-1.880461,-169.28594970703125,1.133068203583134,170.28594970703125
38,18.0,-0.6342762153629491,-1.8625662,-166.59658813476562,1.2282900173183253,184.59658813476562
39,12.0,-0.6741997066364448,-1.8624673,-166.58172607421875,1.1882675823345026,178.58172607421875
40,17.0,-0.6409301305751983,-1.8457038,-164.0623779296875,1.204773709680539,181.0623779296875
41,27.0,-0.5743909784527054,-1.7916399,-155.937255859375,1.2172489455966722,182.937255859375
42,7.0,-0.7074692826976913,-1.8278141,-161.373779296875,1.1203448194751604,168.373779296875
43,16.0,-0.6475840457874477,-1.8321416,-162.02413940429688,1.1845575920146763,178.02413940429688
44,15.0,-0.6542379609996969,-1.8336805,-162.25543212890625,1.1794425495212382,177.25543212890625
45,20.0,-0.6209683849384505,-1.8143867,-159.35580444335938,1.1934183404872698,179.35580444335938
46,11.0,-0.6808536218486941,-1.8334074,-162.21438598632812,1.15255378018988,173.21438598632812
47,12.0,-0.6741997066364448,-1.8490341,-164.5628662109375,1.1748343643321832,176.5628662109375
48,16.0,-0.6475840457874477,-1.8432131,-163.68804931640625,1.1956290355724155,179.68804931640625
49,19.0,-0.6276223001506998,-1.8236148,-160.74267578125,1.195992535588436,179.74267578125
50,19.0,-0.6276223001506998,-1.8077828,-158.36331176757812,1.1801604690524863,177.36331176757812
51,19.0,-0.6276223001506998,-1.797574,-156.82907104492188,1.169951743123226,175.82907104492188
52,27.0,-0.5743909784527054,-1.7596236,-151.1256103515625,1.1852326682834398,178.1256103515625
53,10.0,-0.6875075370609434,-1.7968556,-156.72109985351562,1.1093480318248599,166.72109985351562
54,33.0,-0.5344674871792097,-1.7434973,-148.7020263671875,1.2090297652850848,181.7020263671875
55,19.0,-0.6276223001506998,-1.7473512,-149.28121948242188,1.1197288694354819,168.28121948242188
56,30.0,-0.5544292328159576,-1.7154328,-144.48428344726562,1.161003530283713,174.48428344726562
