,X,X_n,Y_n,X_hat,Res_n,Res_hat
0,6.0,-0.7141231979099406,-0.71790916,5.4310150146484375,0.0037859593662129543,0.5689849853515625
1,0.0,-0.7540466891834363,-1.2883903,-80.30514526367188,0.5343435896327868,80.30514526367188
2,3.0,-0.7340849435466885,-1.5949695,-126.38015747070312,0.860884567485416,129.38015747070312
3,0.0,-0.7540466891834363,-1.7592754,-151.07327270507812,1.0052287472179309,151.07327270507812
4,0.0,-0.7540466891834363,-1.8413346,-163.40573120117188,1.0872878921916858,163.40573120117188
5,0.0,-0.7540466891834363,-1.8802754,-169.258056640625,1.1262286795070544,169.258056640625
6,0.0,-0.7540466891834363,-1.897928,-171.9110107421875,1.1438813103130236,171.9110107421875
7,0.0,-0.7540466891834363,-1.9055302,-173.05352783203125,1.151483525126256,173.05352783203125
8,0.0,-0.7540466891834363,-1.9085815,-173.51211547851562,1.1545348061015979,173.51211547851562
9,1.0,-0.7473927739711871,-1.9069762,-173.27084350585938,1.1595834490207562,174.27084350585938
10,4.0,-0.7274310283344392,-1.8968828,-171.75393676757812,1.1694517441112395,175.75393676757812
11,0.0,-0.7540466891834363,-1.9005024,-172.29791259765625,1.1464557541301623,172.29791259765625
12,2.0,-0.7407388587589377,-1.8987944,-172.04122924804688,1.1580555538539774,174.04122924804688
13,0.0,-0.7540466891834363,-1.9025965,-172.61264038085938,1.1485497845104113,172.61264038085938
14,0.0,-0.7540466891834363,-1.9055867,-173.06204223632812,1.1515400303295031,173.06204223632812
15,0.0,-0.7540466891834363,-1.9074409,-173.3406982421875,1.153394211619176,173.3406982421875
16,5.0,-0.7207771131221898,-1.8943095,-171.36721801757812,1.1735324075992457,176.36721801757812
17,0.0,-0.7540466891834363,-1.8985695,-172.00741577148438,1.1445227755000964,172.00741577148438
18,6.0,-0.7141231979099406,-1.8856518,-170.06607055664062,1.1715286289485798,176.06607055664062
19,5.0,-0.7207771131221898,-1.878759,-169.0301513671875,1.157981913405215,174.0301513671875
20,5.0,-0.7207771131221898,-1.8749192,-168.45309448242188,1.1541420629794947,173.45309448242188
21,5.0,-0.7207771131221898,-1.8728838,-168.14718627929688,1.1521066835697047,173.14718627929688
22,2.0,-0.7407388587589377,-1.8808688,-169.34722900390625,1.1401299337749369,171.34722900390625
23,8.0,-0.700815367485442,-1.868743,-167.52487182617188,1.1679275753246166,175.52487182617188
24,6.0,-0.7141231979099406,-1.8651953,-166.99169921875,1.1510720764430866,172.99169921875
25,4.0,-0.7274310283344392,-1.8699405,-167.70486450195312,1.1425094909984466,171.70486450195312
26,4.0,-0.7274310283344392,-1.8738799,-168.29690551757812,1.1464488811809417,172.29690551757812
27,15.0,-0.6542379609996969,-1.8423325,-163.55569458007812,1.1880945213382548,178.55569458007812
