,X,X_n,Y_n,X_hat,Res_n,Res_hat
0,6.0,-0.7141231979099406,-0.7126661,6.218986511230469,-0.0014571036068095067,-0.21898651123046875
1,0.0,-0.7540466891834363,-1.0748726,-48.21611022949219,0.3208259237697497,48.21611022949219
2,3.0,-0.7340849435466885,-1.207578,-68.16006469726562,0.47349300025519137,71.16006469726562
3,0.0,-0.7540466891834363,-1.2502723,-74.57647705078125,0.49622558483389767,74.57647705078125
4,0.0,-0.7540466891834363,-1.2520759,-74.84754943847656,0.498029221384801,74.84754943847656
5,0.0,-0.7540466891834363,-1.240979,-73.1798095703125,0.48693226703909787,73.1798095703125
6,0.0,-0.7540466891834363,-1.2288084,-71.35073852539062,0.4747617138317004,71.35073852539062
7,0.0,-0.7540466891834363,-1.2193173,-69.92434692382812,0.46527062782553585,69.92434692382812
8,0.0,-0.7540466891834363,-1.212918,-68.96261596679688,0.45887135395316037,68.96261596679688
9,1.0,-0.7473927739711871,-1.2056173,-67.86540222167969,0.4582245346454511,68.86540222167969
10,4.0,-0.7274310283344392,-1.1909156,-65.65591430664062,0.4634845562297698,69.65591430664062
11,0.0,-0.7540466891834363,-1.1944804,-66.19166564941406,0.44043372997549923,66.19166564941406
12,2.0,-0.7407388587589377,-1.1919699,-65.81436157226562,0.45123101276205835,67.81436157226562
13,0.0,-0.7540466891834363,-1.1965789,-66.50703430175781,0.44253217109946164,66.50703430175781
14,0.0,-0.7540466891834363,-1.2001419,-67.04251098632812,0.44609521755484494,67.04251098632812
15,0.0,-0.7540466891834363,-1.2022033,-67.35231018066406,0.44815658458975705,67.35231018066406
16,5.0,-0.7207771131221898,-1.1865745,-65.00349426269531,0.4657973459537379,70.00349426269531
17,0.0,-0.7540466891834363,-1.1918075,-65.78996276855469,0.4377608192851916,65.78996276855469
18,6.0,-0.7141231979099406,-1.1772275,-63.59877014160156,0.46310429919088947,69.59877014160156
19,5.0,-0.7207771131221898,-1.1696706,-62.46305847167969,0.4488934686954371,67.46305847167969
20,5.0,-0.7207771131221898,-1.1658578,-61.890045166015625,0.4450806787784449,66.89004516601562
21,5.0,-0.7207771131221898,-1.1640922,-61.62469482421875,0.4433150699909083,66.62469482421875
22,2.0,-0.7407388587589377,-1.1733674,-63.018646240234375,0.4326285223369485,65.01864624023438
23,8.0,-0.700815367485442,-1.1602798,-61.05174255371094,0.45946438333853257,69.05174255371094
24,6.0,-0.7141231979099406,-1.1565726,-60.494598388671875,0.4424493824275838,66.49459838867188
25,4.0,-0.7274310283344392,-1.1619734,-61.30625915527344,0.4345423288661834,65.30625915527344
26,4.0,-0.7274310283344392,-1.1663569,-61.965057373046875,0.4389258928615447,65.96505737304688
27,15.0,-0.6542379609996969,-1.1321353,-56.82197570800781,0.4778973110263651,71.82197570800781
28,12.0,-0.6741997066364448,-1.1165782,-54.48394775390625,0.44237851468466116,66.48394775390625
29,17.0,-0.6409301305751983,-1.0920187,-50.79295349121094,0.4510885929126557,67.79295349121094
30,14.0,-0.6608918762119462,-1.0860946,-49.90263366699219,0.4252027416316817,63.90263366699219
31,4.0,-0.7274310283344392,-1.1189126,-54.83476257324219,0.3914815492946502,58.83476257324219
32,14.0,-0.6608918762119462,-1.1099194,-53.48321533203125,0.4490275526134322,67.48321533203125
33,7.0,-0.7074692826976913,-1.1235089,-55.525543212890625,0.41603964750860756,62.525543212890625
34,4.0,-0.7274310283344392,-1.1445887,-58.693572998046875,0.4171576805431243,62.693572998046875
35,24.0,-0.5943527240894533,-1.0902824,-50.532012939453125,0.4959297160960936,74.53201293945312
36,18.0,-0.6342762153629491,-1.0681739,-47.209381103515625,0.4338976699825099,65.20938110351562
37,1.0,-0.7473927739711871,-1.1159569,-54.39056396484375,0.3685641285327802,55.39056396484375
38,18.0,-0.6342762153629491,-1.0961275,-51.41046142578125,0.4618512947078517,69.41046142578125
39,12.0,-0.6741997066364448,-1.096706,-51.497406005859375,0.4225063261165459,63.497406005859375
40,17.0,-0.6409301305751983,-1.0821377,-49.30796813964844,0.4412075733203705,66.30796813964844
