,X,X_n,Y_n,X_hat,Res_n,Res_hat
0,6.0,-0.7141231979099406,-0.7146728,5.917396545410156,0.0005496059688435695,0.08260345458984375
1,0.0,-0.7540466891834363,-1.332093,-86.87310791015625,0.578046311228551,86.87310791015625
2,3.0,-0.7340849435466885,-1.6629701,-136.59979248046875,0.9288851225238681,139.59979248046875
3,0.0,-0.7540466891834363,-1.8294306,-161.61672973632812,1.0753838909557238,161.61672973632812
4,0.0,-0.7540466891834363,-1.9022061,-172.553955078125,1.1481593740871325,172.553955078125
5,0.0,-0.7540466891834363,-1.9297249,-176.689697265625,1.1756782425334826,176.689697265625
6,0.0,-0.7540466891834363,-1.938181,-177.96054077148438,1.1841343534877673,177.96054077148438
7,0.0,-0.7540466891834363,-1.9397593,-178.19772338867188,1.18571256527213,178.19772338867188
8,0.0,-0.7540466891834363,-1.9393752,-178.1400146484375,1.1853284729411975,178.1400146484375
9,1.0,-0.7473927739711871,-1.935288,-177.5257568359375,1.1878951784519085,178.5257568359375
10,4.0,-0.7274310283344392,-1.9216396,-175.47457885742188,1.194208533318698,179.47457885742188
11,0.0,-0.7540466891834363,-1.9259174,-176.11746215820312,1.1718706978252307,176.11746215820312
12,2.0,-0.7407388587589377,-1.9244125,-175.89129638671875,1.1836736301784403,177.89129638671875
13,0.0,-0.7540466891834363,-1.9296498,-176.67840576171875,1.1756031406810656,176.67840576171875
14,0.0,-0.7540466891834363,-1.9339446,-177.3238525390625,1.1798978937557116,177.3238525390625
15,0.0,-0.7540466891834363,-1.9364687,-177.70321655273438,1.1824220312526599,177.70321655273438
16,5.0,-0.7207771131221898,-1.9201536,-175.25125122070312,1.1993765047366969,180.25125122070312
17,0.0,-0.7540466891834363,-1.9248176,-175.95217895507812,1.1707708729198352,175.95217895507812
18,6.0,-0.7141231979099406,-1.909618,-173.66787719726562,1.1954948221477375,179.66787719726562
19,5.0,-0.7207771131221898,-1.9008126,-172.34454345703125,1.18003551276282,177.34454345703125
20,5.0,-0.7207771131221898,-1.8963355,-171.67169189453125,1.1755583694751612,176.67169189453125
21,5.0,-0.7207771131221898,-1.8942363,-171.356201171875,1.1734592130954615,176.356201171875
22,2.0,-0.7407388587589377,-1.904022,-172.82687377929688,1.1632831196193583,174.82687377929688
23,8.0,-0.700815367485442,-1.8900056,-170.72036743164062,1.189190221046052,178.72036743164062
24,6.0,-0.7141231979099406,-1.8848798,-169.95004272460938,1.170756629589449,175.95004272460938
25,4.0,-0.7274310283344392,-1.8904574,-170.78826904296875,1.1630263634044524,174.78826904296875
26,4.0,-0.7274310283344392,-1.8956285,-171.5654296875,1.1681974239665862,175.5654296875
27,15.0,-0.6542379609996969,-1.8571355,-165.78042602539062,1.2028975732868021,180.78042602539062
28,12.0,-0.6741997066364448,-1.8366673,-162.70431518554688,1.1624675926341852,174.70431518554688
29,17.0,-0.6409301305751983,-1.8059185,-158.0831298828125,1.1649883245487032,175.0831298828125
30,14.0,-0.6608918762119462,-1.7965972,-156.68228149414062,1.1357053661434005,170.68228149414062
31,4.0,-0.7274310283344392,-1.833969,-162.29876708984375,1.1065379686672088,166.29876708984375
32,14.0,-0.6608918762119462,-1.8253236,-160.99948120117188,1.1644317054836104,174.99948120117188
33,7.0,-0.7074692826976913,-1.8404957,-163.2796630859375,1.133026422906862,170.2796630859375
34,4.0,-0.7274310283344392,-1.8646338,-166.90731811523438,1.137202770264804,170.90731811523438
35,24.0,-0.5943527240894533,-1.8025568,-157.57791137695312,1.208204029069116,181.57791137695312
36,18.0,-0.6342762153629491,-1.7728527,-153.11376953125,1.1385764438625148,171.11376953125
37,1.0,-0.7473927739711871,-1.8271744,-161.27764892578125,1.0797816511539349,162.27764892578125
38,18.0,-0.6342762153629491,-1.8072093,-158.27713012695312,1.1729330379482081,176.27713012695312
39,12.0,-0.6741997066364448,-1.806762,-158.20989990234375,1.132562273420318,170.20989990234375
40,17.0,-0.6409301305751983,-1.7891634,-155.5650634765625,1.1482332204837618,172.5650634765625
