,X,X_n,Y_n,X_hat,Res_n,Res_hat
0,6.0,-0.7141231979099406,-0.7171354,5.54730224609375,0.0030122314723836086,0.45269775390625
1,0.0,-0.7540466891834363,-1.9282084,-176.46176147460938,1.1741616619518176,176.46176147460938
2,3.0,-0.7340849435466885,-2.5824506,-274.78619384765625,1.8483656847339511,277.78619384765625
3,0.0,-0.7540466891834363,-3.234874,-372.8372497558594,2.4808273209026233,372.8372497558594
4,0.0,-0.7540466891834363,-3.5277107,-416.8468933105469,2.773663987009801,416.8468933105469
5,0.0,-0.7540466891834363,-3.6931787,-441.7146911621094,2.9391319645336047,441.7146911621094
6,0.0,-0.7540466891834363,-3.769794,-453.2289733886719,3.0157472980907336,453.2289733886719
7,0.0,-0.7540466891834363,-3.8109155,-459.4090270996094,3.0568687809398547,459.4090270996094
8,0.0,-0.7540466891834363,-3.8333867,-462.7861633300781,3.079339970438756,462.7861633300781
9,1.0,-0.7473927739711871,-3.84053,-463.8597106933594,3.093137144699467,464.8597106933594
10,4.0,-0.7274310283344392,-3.8298728,-462.2580871582031,3.1024418182689546,466.2580871582031
11,0.0,-0.7540466891834363,-3.8637,-467.3418884277344,3.109653223841466,467.3418884277344
12,2.0,-0.7407388587589377,-3.8485765,-465.0690612792969,3.1078376869563944,467.0690612792969
13,0.0,-0.7540466891834363,-3.8697484,-468.2508850097656,3.1157016647746936,468.2508850097656
14,0.0,-0.7540466891834363,-3.8676298,-467.9324645996094,3.113583077280797,467.9324645996094
15,0.0,-0.7540466891834363,-3.8711898,-468.4674987792969,3.1171431435039416,468.4674987792969
16,5.0,-0.7207771131221898,-3.8377633,-463.4439392089844,3.11698619635657,468.4439392089844
17,0.0,-0.7540466891834363,-3.8754168,-469.1027526855469,3.121370066492833,469.1027526855469
18,6.0,-0.7141231979099406,-3.8269672,-461.8214416503906,3.112844041469942,467.8214416503906
19,5.0,-0.7207771131221898,-3.8427236,-464.1894226074219,3.121946494894778,469.1894226074219
20,5.0,-0.7207771131221898,-3.8353746,-463.0849304199219,3.1145974806125514,468.0849304199219
21,5.0,-0.7207771131221898,-3.8370864,-463.3421936035156,3.1163093260105006,468.3421936035156
22,2.0,-0.7407388587589377,-3.8564312,-466.2494812011719,3.1156923870448954,468.2494812011719
23,8.0,-0.700815367485442,-3.8141448,-459.8943786621094,3.1133294822917796,467.8943786621094
24,6.0,-0.7141231979099406,-3.8343046,-462.9241638183594,3.1201813732417927,468.9241638183594
25,4.0,-0.7274310283344392,-3.8404984,-463.8550109863281,3.113067419083774,467.8550109863281
26,4.0,-0.7274310283344392,-3.841695,-464.0348205566406,3.1142640419322847,468.0348205566406
27,15.0,-0.6542379609996969,-3.7685778,-453.0462341308594,3.114339853102476,468.0462341308594
28,12.0,-0.6741997066364448,-3.795942,-457.1587219238281,3.121742361463531,469.1587219238281
29,17.0,-0.6409301305751983,-3.7494178,-450.1667175292969,3.1084876512546358,467.1667175292969
30,14.0,-0.6608918762119462,-3.7758572,-454.1402282714844,3.1149653339473558,468.1402282714844
31,4.0,-0.7274310283344392,-3.8347552,-462.9918518066406,3.1073241539317964,466.9918518066406
32,14.0,-0.6608918762119462,-3.7642226,-452.3916931152344,3.1033307457057786,466.3916931152344
33,7.0,-0.7074692826976913,-3.8267653,-461.7911071777344,3.1192960161456926,468.7911071777344
34,4.0,-0.7274310283344392,-3.832894,-462.7121276855469,3.1054630585033296,466.7121276855469
35,24.0,-0.5943527240894533,-3.7045102,-443.4176940917969,3.110157487855127,467.4176940917969
36,18.0,-0.6342762153629491,-3.7592301,-451.6413879394531,3.124953921508389,469.6413879394531
37,1.0,-0.7473927739711871,-3.8511531,-465.4562683105469,3.1037603613284954,466.4562683105469
38,18.0,-0.6342762153629491,-3.7323084,-447.5953674316406,3.0980321723933986,465.5953674316406
39,12.0,-0.6741997066364448,-3.7976656,-457.4177551269531,3.123465889371856,469.4177551269531
40,17.0,-0.6409301305751983,-3.743601,-449.2925109863281,3.102670953180295,466.2925109863281
41,27.0,-0.5743909784527054,-3.6875787,-440.8730773925781,3.1131876996783983,467.8730773925781
42,7.0,-0.7074692826976913,-3.8214571,-460.9933166503906,3.1139878649005754,467.9933166503906
43,16.0,-0.6475840457874477,-3.739146,-448.6230163574219,3.0915619483989536,464.6230163574219
44,15.0,-0.6542379609996969,-3.7706532,-453.3581237792969,3.116415286833555,468.3581237792969
45,20.0,-0.6209683849384505,-3.7256703,-446.5977478027344,3.1047019527385515,466.5977478027344
46,11.0,-0.6808536218486941,-3.7932029,-456.7470397949219,3.1123492551959835,467.7470397949219
47,12.0,-0.6741997066364448,-3.7745903,-453.9497985839844,3.1003905471935114,465.9497985839844
48,16.0,-0.6475840457874477,-3.7576609,-451.4055480957031,3.1100768199962436,467.4055480957031
49,19.0,-0.6276223001506998,-3.738024,-448.4543762207031,3.11040169620245,467.4543762207031
50,19.0,-0.6276223001506998,-3.7371664,-448.3254699707031,3.1095441045734216,467.3254699707031
51,19.0,-0.6276223001506998,-3.7340572,-447.8581848144531,3.106434887883358,466.8581848144531
52,27.0,-0.5743909784527054,-3.6796694,-439.6844177246094,3.105278401735283,466.6844177246094
53,10.0,-0.6875075370609434,-3.7987545,-457.5813903808594,3.1112469165981143,467.5813903808594
54,33.0,-0.5344674871792097,-3.6248431,-431.4447326660156,3.0903756333957415,464.4447326660156
55,19.0,-0.6276223001506998,-3.750517,-450.3318786621094,3.1228945913287927,469.3318786621094
56,30.0,-0.5544292328159576,-3.6431656,-434.1983337402344,3.088736355562949,464.1983337402344
57,23.0,-0.6010066393017026,-3.7137022,-444.7991027832031,3.112695562541559,467.7991027832031
58,26.0,-0.5810448936649547,-3.6746418,-438.9288024902344,3.093596953945519,464.9288024902344
59,16.0,-0.6475840457874477,-3.7529788,-450.7018737792969,3.105394755939847,466.7018737792969
60,21.0,-0.6143144697262012,-3.7081063,-443.9580993652344,3.0937918096469676,464.9580993652344
61,42.0,-0.474582250268966,-3.580796,-424.8249816894531,3.106213753072709,466.8249816894531
62,52.0,-0.40804309814647305,-3.5208273,-415.8124084472656,3.112784195249523,467.8124084472656
63,42.0,-0.474582250268966,-3.5747654,-423.9186706542969,3.100183193532914,465.9186706542969
64,59.0,-0.36146569166072795,-3.4436252,-404.2099304199219,3.0821595200549705,463.2099304199219
65,63.0,-0.3348500308117308,-3.4341483,-402.7856750488281,3.0992982808032594,465.7856750488281
66,23.0,-0.6010066393017026,-3.6864758,-440.7073059082031,3.085469114482477,463.7073059082031
67,44.0,-0.4612744198444674,-3.5173185,-415.2851257324219,3.0560440673228912,459.2851257324219
68,112.0,-0.008808185411515358,-3.1105359,-354.1507873535156,3.1017276746501303,466.1507873535156
69,65.0,-0.3215422003872322,-3.445114,-404.4336853027344,3.1235716969363763,469.4336853027344
70,32.0,-0.5411214023914589,-3.5759468,-424.0962219238281,3.0348254054698693,456.0962219238281
71,69.0,-0.29492653953823506,-3.351984,-390.4374084472656,3.0570574845096163,459.4374084472656
72,37.0,-0.5078518263302124,-3.6125548,-429.5979309082031,3.1047029622592652,466.5979309082031
73,37.0,-0.5078518263302124,-3.5610914,-421.8636169433594,3.0532395967044557,458.8636169433594
74,60.0,-0.35481177644847867,-3.4427304,-404.0754699707031,3.0879186503398515,464.0754699707031
75,59.0,-0.36146569166072795,-3.459217,-406.5531921386719,3.0977513798724754,465.5531921386719
